File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 1.6667
110.bpp, 0.1282
117.bpp, 0.3667
119.bpp, 2.7500
135.bpp, 4.4615
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 6.9286
145.bpp, 9.6667
151.bpp, 2.0000
168.bpp, 2.8214
17.bpp, 2.4091
173.bpp, 2.3000
178.bpp, 0.9091
179.bpp, 0.5294
18.bpp, 2.1667
184.bpp, 0.7250
194.bpp, 3.8571
197.bpp, 5.7917
202.bpp, 0.1081
208.bpp, 4.1429
210.bpp, 9.8750
215.bpp, 1.6667
223.bpp, 1.5172
226.bpp, 7.1538
229.bpp, 1.2667
233.bpp, 5.9000
237.bpp, 5.5000
239.bpp, 0.8182
240.bpp, 2.8000
244.bpp, 0.4667
246.bpp, 4.5263
255.bpp, 4.9000
256.bpp, 3.1875
261.bpp, 0.7917
262.bpp, 1.9524
264.bpp, 4.2143
292.bpp, 0.0500
294.bpp, 3.4667
307.bpp, 6.9167
31.bpp, 4.0400
310.bpp, 0.6316
311.bpp, 7.4286
317.bpp, 0.6333
326.bpp, 3.1765
327.bpp, 3.3750
330.bpp, 0.8947
332.bpp, 21.0000
337.bpp, 8.4545
348.bpp, 0.8750
357.bpp, 11.0000
358.bpp, 3.2500
359.bpp, 1.6667
36.bpp, 18.0000
363.bpp, 9.5000
366.bpp, 2.4000
368.bpp, 5.6364
380.bpp, 28.0000
385.bpp, 0.9412
394.bpp, 2.9091
401.bpp, 3.8947
409.bpp, 0.6429
41.bpp, 6.2500
410.bpp, 4.6000
433.bpp, 1.3158
438.bpp, 3.5714
441.bpp, 1.8571
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.3333
452.bpp, 10.8000
47.bpp, 1.2778
470.bpp, 3.8261
473.bpp, 4.4444
478.bpp, 0.8148
483.bpp, 2.0435
484.bpp, 0.7143
488.bpp, 2.0000
489.bpp, 1.6800
492.bpp, 4.6250
5.bpp, 3.0417
50.bpp, 8.5000
55.bpp, 5.5000
58.bpp, 3.5556
59.bpp, 2.6190
6.bpp, 1.3000
63.bpp, 8.1667
7.bpp, 3.0000
71.bpp, 0.2857
72.bpp, 1.5000
78.bpp, 5.0000
80.bpp, 4.6667
81.bpp, 3.0000
83.bpp, 3.0000
87.bpp, 3.5833
97.bpp, 1.5625
99.bpp, 2.8500
