File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 4.6000
104.bpp, 30.0000
11.bpp, 1.3448
110.bpp, 0.0270
117.bpp, 0.2759
119.bpp, 1.3333
135.bpp, 2.7500
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 5.1538
145.bpp, 6.8000
151.bpp, 2.0000
168.bpp, 2.3333
17.bpp, 1.7619
173.bpp, 4.0000
178.bpp, 0.9091
179.bpp, 0.3125
18.bpp, 0.4000
184.bpp, 0.2571
194.bpp, 3.8571
197.bpp, 5.7917
202.bpp, 0.0000
208.bpp, 7.3750
210.bpp, 3.5000
215.bpp, 1.6667
223.bpp, 1.8000
226.bpp, 2.3333
229.bpp, 0.6429
233.bpp, 14.9375
237.bpp, 5.5000
239.bpp, 0.4000
240.bpp, 1.6667
244.bpp, 0.1429
246.bpp, 10.4643
255.bpp, 1.6250
256.bpp, 3.1875
261.bpp, 1.2000
262.bpp, 0.6111
264.bpp, 13.5217
292.bpp, 0.0500
294.bpp, 2.5000
307.bpp, 4.9091
31.bpp, 3.1250
310.bpp, 0.3889
311.bpp, 2.5000
317.bpp, 0.4483
326.bpp, 2.3750
327.bpp, 4.4706
330.bpp, 0.6667
332.bpp, 21.0000
337.bpp, 4.1111
348.bpp, 0.6957
357.bpp, 11.0000
358.bpp, 2.0000
359.bpp, 1.2174
36.bpp, 18.0000
363.bpp, 9.5000
366.bpp, 1.0000
368.bpp, 3.6000
380.bpp, 28.0000
385.bpp, 0.9412
394.bpp, 1.1111
401.bpp, 4.8000
409.bpp, 0.3077
41.bpp, 3.3333
410.bpp, 4.6000
433.bpp, 1.6500
438.bpp, 3.5714
441.bpp, 1.8571
443.bpp, 11.0000
447.bpp, 2.3333
449.bpp, 0.3333
452.bpp, 3.8571
47.bpp, 1.8947
470.bpp, 3.0000
473.bpp, 2.1333
478.bpp, 0.5769
483.bpp, 2.0435
484.bpp, 0.7143
488.bpp, 3.5000
489.bpp, 1.0435
492.bpp, 5.1818
5.bpp, 3.0417
50.bpp, 3.8750
55.bpp, 2.2500
58.bpp, 2.1250
59.bpp, 2.0500
6.bpp, 2.9091
63.bpp, 5.6000
7.bpp, 3.0000
71.bpp, 0.1852
72.bpp, 1.5000
78.bpp, 6.9000
80.bpp, 3.4118
81.bpp, 2.0909
83.bpp, 3.0000
87.bpp, 1.1111
97.bpp, 1.0000
99.bpp, 3.6667
