File, FIRST_FIT, FIRST_FIT_SC, FIRST_FIT_DC, BEST_FIT, BEST_FIT_SC, BEST_FIT_DC, WORST_FIT, WORST_FIT_SC, WORST_FIT_DC, ALMOST_WORST_FIT, ALMOST_WORST_FIT_SC, ALMOST_WORST_FIT_DC
0.bpp, 1.6154, 3.9333, 2.8571, 1.6154, 3.9333, 2.8571, 2.8571, 3.9333, 2.8571, 2.8571, 2.8571, 2.8571
100.bpp, 3.0000, 3.0000, 4.6000, 3.0000, 3.0000, 4.6000, 3.0000, 3.0000, 4.6000, 4.6000, 4.6000, 4.6000
104.bpp, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000
11.bpp, 1.0000, 2.2500, 1.3448, 1.0000, 2.2500, 1.3448, 1.3448, 2.5152, 1.3448, 1.3448, 1.3448, 1.3448
110.bpp, 0.0270, 0.1750, 0.0270, 0.0270, 0.1750, 0.0270, 0.0270, 0.1750, 0.0270, 0.0270, 0.0270, 0.0270
117.bpp, 0.1786, 0.5312, 0.1786, 0.1786, 0.5312, 0.1786, 0.1786, 0.5312, 0.1786, 0.1786, 0.1786, 0.1786
119.bpp, 1.3333, 3.6000, 1.3333, 1.3333, 3.6000, 1.3333, 1.3333, 3.6000, 1.3333, 1.3333, 1.3333, 1.3333
135.bpp, 2.7500, 5.2222, 2.7500, 2.7500, 5.2222, 2.7500, 2.7500, 5.2222, 3.6400, 2.7500, 2.7500, 2.7500
14.bpp, 4.6000, 5.9375, 11.4091, 4.6000, 5.9375, 11.4091, 4.6000, 5.9375, 11.4091, 11.4091, 11.4091, 11.4091
141.bpp, 6.7500, 9.2000, 9.2000, 6.7500, 9.2000, 9.2000, 6.7500, 9.2000, 9.2000, 9.2000, 9.2000, 9.2000
143.bpp, 5.1538, 8.4667, 6.9286, 5.1538, 8.4667, 5.1538, 5.1538, 8.4667, 6.9286, 5.1538, 5.1538, 5.1538
145.bpp, 2.5000, 13.2500, 6.8000, 2.5000, 13.2500, 6.8000, 6.8000, 13.2500, 9.6667, 6.8000, 6.8000, 6.8000
151.bpp, 2.0000, 4.5000, 2.0000, 2.0000, 4.5000, 2.0000, 2.0000, 4.5000, 2.0000, 2.0000, 2.0000, 2.0000
168.bpp, 1.8077, 3.7000, 1.8077, 1.8077, 3.7000, 1.8077, 2.3333, 3.7000, 1.8077, 1.8077, 1.8077, 1.8077
17.bpp, 1.0500, 2.4091, 1.7619, 1.0500, 2.4091, 1.0500, 2.4091, 3.5417, 2.4091, 1.7619, 1.7619, 1.7619
173.bpp, 2.3000, 5.4167, 5.4167, 2.3000, 5.4167, 5.4167, 4.0000, 5.4167, 5.4167, 5.4167, 5.4167, 5.4167
178.bpp, 0.9091, 2.2143, 0.9091, 0.9091, 2.2143, 0.9091, 0.9091, 2.2143, 0.9091, 0.9091, 0.9091, 0.9091
179.bpp, 0.3125, 0.7222, 0.3125, 0.3125, 0.7222, 0.3125, 0.3125, 0.7222, 0.5294, 0.5294, 0.5294, 0.5294
18.bpp, 0.4000, 3.9333, 1.3636, 0.4000, 3.9333, 1.3636, 0.4000, 3.9333, 1.3636, 1.3636, 1.3636, 1.3636
184.bpp, 0.2571, 0.8049, 0.2571, 0.2571, 0.7250, 0.2571, 0.3611, 0.8049, 0.3611, 0.2571, 0.2571, 0.2571
194.bpp, 3.8571, 8.1000, 3.8571, 3.8571, 8.1000, 3.8571, 3.8571, 8.1000, 3.8571, 3.8571, 3.8571, 3.8571
197.bpp, 5.7917, 6.6000, 6.6000, 5.7917, 6.6000, 5.7917, 5.7917, 6.6000, 6.6000, 6.6000, 6.6000, 6.6000
202.bpp, 0.0000, 0.1579, 0.0000, 0.0000, 0.1579, 0.0000, 0.0000, 0.1579, 0.0000, 0.0000, 0.0000, 0.0000
208.bpp, 7.3750, 11.9000, 7.3750, 7.3750, 11.9000, 7.3750, 7.3750, 11.9000, 7.3750, 7.3750, 7.3750, 7.3750
210.bpp, 7.1429, 12.0000, 7.1429, 7.1429, 12.0000, 3.5000, 7.1429, 12.0000, 7.1429, 3.5000, 3.5000, 3.5000
215.bpp, 1.6667, 3.0000, 0.7500, 1.6667, 3.0000, 0.7500, 1.6667, 3.0000, 1.6667, 0.7500, 0.7500, 0.7500
223.bpp, 1.5172, 2.0645, 1.5172, 1.5172, 2.0645, 1.5172, 1.8000, 2.0645, 1.8000, 1.5172, 1.5172, 1.5172
226.bpp, 2.3333, 7.9286, 2.3333, 2.3333, 7.9286, 2.3333, 3.9000, 7.9286, 3.9000, 2.3333, 2.3333, 2.3333
