File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 0.3333
104.bpp, 30.0000
11.bpp, 1.6667
110.bpp, 0.1282
117.bpp, 0.4516
119.bpp, 2.7500
135.bpp, 4.4615
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 6.9286
145.bpp, 6.8000
151.bpp, 2.0000
168.bpp, 3.2759
17.bpp, 3.0000
173.bpp, 2.3000
178.bpp, 1.4167
179.bpp, 0.5294
18.bpp, 2.8462
184.bpp, 0.7250
194.bpp, 3.8571
197.bpp, 5.7917
202.bpp, 0.1081
208.bpp, 7.3750
210.bpp, 7.1429
215.bpp, 2.4000
223.bpp, 1.8000
226.bpp, 6.2500
229.bpp, 1.2667
233.bpp, 5.9000
237.bpp, 5.5000
239.bpp, 0.8182
240.bpp, 2.8000
244.bpp, 0.6129
246.bpp, 4.5263
255.bpp, 4.9000
256.bpp, 4.1765
261.bpp, 0.7917
262.bpp, 1.5500
264.bpp, 4.2143
292.bpp, 0.1429
294.bpp, 4.3125
307.bpp, 4.9091
31.bpp, 4.0400
310.bpp, 0.6316
311.bpp, 6.3333
317.bpp, 0.6333
326.bpp, 3.1765
327.bpp, 4.4706
330.bpp, 0.8947
332.bpp, 21.0000
337.bpp, 8.4545
348.bpp, 0.8750
357.bpp, 11.0000
358.bpp, 4.3529
359.bpp, 1.6667
36.bpp, 18.0000
363.bpp, 2.6667
366.bpp, 2.4000
368.bpp, 3.6000
380.bpp, 28.0000
385.bpp, 0.9412
394.bpp, 2.9091
401.bpp, 4.8000
409.bpp, 0.6429
41.bpp, 5.0000
410.bpp, 4.6000
433.bpp, 1.3158
438.bpp, 1.7692
441.bpp, 1.8571
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.3333
452.bpp, 9.0000
47.bpp, 1.8947
470.bpp, 3.8261
473.bpp, 4.4444
478.bpp, 1.0357
483.bpp, 2.0435
484.bpp, 0.8966
488.bpp, 2.0000
489.bpp, 1.6800
492.bpp, 4.0323
5.bpp, 3.0417
50.bpp, 10.1818
55.bpp, 5.5000
58.bpp, 2.1250
59.bpp, 2.6190
6.bpp, 2.9091
63.bpp, 5.6000
7.bpp, 3.0000
71.bpp, 0.2857
72.bpp, 2.1538
78.bpp, 5.0000
80.bpp, 4.6667
81.bpp, 3.7692
83.bpp, 3.0000
87.bpp, 2.9091
97.bpp, 2.0588
99.bpp, 3.6667
