File, Hyper-heuristic,BestHeuristic,
0.bpp,1.6154,1.6154,
100.bpp,3,3,
104.bpp,30,30,
11.bpp,1.3448,1,
110.bpp,0.027,0.027,
117.bpp,0.3667,0.1786,
119.bpp,1.3333,1.3333,
135.bpp,2.75,2.75,
14.bpp,4.6,4.6,
141.bpp,6.75,6.75,
143.bpp,5.1538,5.1538,
145.bpp,2.5,2.5,
151.bpp,2,2,
168.bpp,1.8077,1.8077,
17.bpp,1.05,1.05,
173.bpp,2.3,2.3,
178.bpp,0.9091,0.9091,
179.bpp,0.3125,0.3125,
18.bpp,0.4,0.4,
184.bpp,0.3611,0.2571,
194.bpp,3.8571,3.8571,
197.bpp,5.7917,5.7917,
202.bpp,0,0,
208.bpp,7.375,7.375,
210.bpp,7.1429,3.5,
215.bpp,1.6667,0.75,
223.bpp,1.5172,1.5172,
226.bpp,2.3333,2.3333,
229.bpp,0.6429,0.6429,
233.bpp,5.9,5.9,
237.bpp,5.5,5.5,
239.bpp,0.4,0.4,
240.bpp,1.6667,1.6667,
244.bpp,0.4667,0.1429,
246.bpp,4.5263,4.5263,
255.bpp,1.625,1.625,
256.bpp,2.0667,2.0667,
261.bpp,0.3478,0.3478,
262.bpp,0.6111,0.6111,
264.bpp,4.2143,4.2143,
292.bpp,0.1429,0.05,
294.bpp,1.3846,1.3846,
307.bpp,4.9091,4.9091,
31.bpp,3.125,2.1304,
310.bpp,0.3889,0.3889,
311.bpp,4.8,2.5,
317.bpp,0.8065,0.4483,
326.bpp,1.4667,1.4667,
327.bpp,3.375,3.375,
330.bpp,0.4118,0.4118,
332.bpp,21,21,
337.bpp,4.1111,4.1111,
348.bpp,0.6957,0.6957,
357.bpp,11,11,
358.bpp,2,2,
359.bpp,1.6667,1.2174,
36.bpp,18,18,
363.bpp,2.6667,2.6667,
366.bpp,2.4,1,
368.bpp,3.6,3.6,
380.bpp,28,28,
385.bpp,0.5625,0.5625,
394.bpp,1.1111,1.1111,
401.bpp,3.8947,3.8947,
409.bpp,0.6429,0.3077,
41.bpp,3.3333,3.3333,
410.bpp,4.6,4.6,
433.bpp,2.7083,0.9444,
438.bpp,1.7692,1.7692,
441.bpp,1.15,1.15,
443.bpp,11,11,
447.bpp,2.3333,2.3333,
449.bpp,0.3333,0.3333,
452.bpp,3.8571,3.8571,
47.bpp,1.8947,0.5882,
470.bpp,2.0952,2.0952,
473.bpp,2.1333,1.1429,
478.bpp,0.8148,0.5769,
483.bpp,2.5,1.5455,
484.bpp,0.7143,0.5185,
488.bpp,3.5,2,
489.bpp,1.0435,1.0435,
492.bpp,4.0323,4.0323,
5.bpp,3.0417,3.0417,
50.bpp,3.875,3.875,
55.bpp,2.25,2.25,
58.bpp,2.125,2.125,
59.bpp,2.05,1.4211,
6.bpp,1.3,1.3,
63.bpp,1.75,1.75,
7.bpp,3,3,
71.bpp,0.2857,0.0769,
72.bpp,0.7273,0.7273,
78.bpp,2.625,2.625,
80.bpp,3.4118,3.4118,
81.bpp,2.0909,2.0909,
83.bpp,3,3,
87.bpp,1.1111,1.1111,
97.bpp,0.3571,0.3571,
99.bpp,1.9474,1.9474,
