File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 0.3333
104.bpp, 30.0000
11.bpp, 1.0000
110.bpp, 0.0270
117.bpp, 0.3667
119.bpp, 2.7500
135.bpp, 3.6400
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 5.1538
145.bpp, 2.5000
151.bpp, 2.0000
168.bpp, 2.8214
17.bpp, 1.7619
173.bpp, 4.0000
178.bpp, 0.9091
179.bpp, 0.3125
18.bpp, 3.4286
184.bpp, 0.3611
194.bpp, 3.8571
197.bpp, 5.7917
202.bpp, 0.0000
208.bpp, 7.3750
210.bpp, 7.1429
215.bpp, 2.4000
223.bpp, 1.5172
226.bpp, 3.9000
229.bpp, 0.6429
233.bpp, 5.9000
237.bpp, 5.5000
239.bpp, 0.4000
240.bpp, 2.8000
244.bpp, 0.4667
246.bpp, 4.5263
255.bpp, 3.4444
256.bpp, 3.1875
261.bpp, 0.7917
262.bpp, 0.6111
264.bpp, 4.2143
292.bpp, 0.1429
294.bpp, 1.3846
307.bpp, 4.9091
31.bpp, 3.1250
310.bpp, 0.3889
311.bpp, 4.8000
317.bpp, 0.8065
326.bpp, 2.3750
327.bpp, 3.3750
330.bpp, 0.4118
332.bpp, 21.0000
337.bpp, 4.1111
348.bpp, 0.6957
357.bpp, 11.0000
358.bpp, 3.2500
359.bpp, 2.0800
36.bpp, 18.0000
363.bpp, 2.6667
366.bpp, 1.0000
368.bpp, 3.6000
380.bpp, 28.0000
385.bpp, 0.5625
394.bpp, 1.1111
401.bpp, 3.8947
409.bpp, 0.6429
41.bpp, 5.0000
410.bpp, 4.6000
433.bpp, 1.6500
438.bpp, 3.5714
441.bpp, 3.0870
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.3333
452.bpp, 3.8571
47.bpp, 1.2778
470.bpp, 3.0000
473.bpp, 3.0000
478.bpp, 0.8148
483.bpp, 2.0435
484.bpp, 0.7143
488.bpp, 3.5000
489.bpp, 1.0435
492.bpp, 4.0323
5.bpp, 3.0417
50.bpp, 3.8750
55.bpp, 4.0000
58.bpp, 3.5556
59.bpp, 2.0500
6.bpp, 1.3000
63.bpp, 1.7500
7.bpp, 3.0000
71.bpp, 0.2857
72.bpp, 2.1538
78.bpp, 2.6250
80.bpp, 3.4118
81.bpp, 2.0909
83.bpp, 3.0000
87.bpp, 1.1111
97.bpp, 2.0588
99.bpp, 3.6667
